ves_radius/prot_radius,avg_proteins
0.551020408163265,2
0.653061224489796,4
0.755102040816326,6
0.857142857142857,8
0.959183673469388,12
1.06122448979592,13
1.0655737704918,13
1.14754098360656,16
1.16326530612245,17
1.22950819672131,18
1.26530612244898,20
1.31147540983607,21
1.36734693877551,22.6
1.39344262295082,24
1.46938775510204,27
1.47540983606557,27
1.55737704918033,30.4
1.57142857142857,31.9
1.63934426229508,34
1.6734693877551,36
1.72131147540984,38
1.77551020408163,40
1.80327868852459,41.3
1.87755102040816,45
1.88524590163934,45
1.9672131147541,50
1.97959183673469,50
2.04918032786885,54
2.08163265306122,56
2.13114754098361,59
2.18367346938775,62
2.21311475409836,63
2.28571428571429,67.1
2.29508196721311,69
2.37704918032787,72.8
2.38775510204082,74.2
2.45901639344262,78.9
2.48979591836735,80.6
2.54098360655738,84
2.59183673469388,88.7
2.62295081967213,89.9
2.69387755102041,95.6
2.70491803278689,96.1
2.78688524590164,101.8
2.79591836734694,103
2.86885245901639,107.9
2.89795918367347,110.1
2.95081967213115,114.3
3,118.2
3.0327868852459,120.3
3.10204081632653,126.6
3.11475409836066,127.9
3.19672131147541,134.9
3.20408163265306,135.5
3.25,139
3.27868852459016,142
3.30612244897959,144.1
3.36065573770492,148.5
3.40816326530612,153
3.44262295081967,156.2
3.5,161.3
3.51020408163265,162.6
3.52459016393443,163.8
3.60655737704918,171.5
3.61224489795918,172.2
3.68852459016393,179.5
3.71428571428571,182.2
3.75,186
3.77049180327869,187.6
3.81632653061224,192.6
3.85245901639344,196.1
3.91836734693877,202.9
3.9344262295082,204.9
4,211.8
4.02040816326531,214.3
4.12244897959184,225.1
4.22448979591837,236.9
4.25,239.3
4.5,269.6
4.63414634146342,285.5
4.75,300.9
4.87804878048781,317.1
5,333.7
5.1219512195122,349.9
5.25,368
5.36585365853659,384.1
5.5,404.4
5.60975609756098,420.9
5.75,442.1
5.85365853658537,458.5
6,481.9
6.09756097560976,497.8
6.25,523.5
6.34146341463415,538.7
6.5,567
6.58536585365854,581.5
6.75,611.4
6.82926829268293,626.5
7,658.8
7.07317073170732,672.1
7.25,707.3
7.31707317073171,720.6
7.5,757.5
7.5609756097561,769.6
7.75,808.7
7.80487804878049,820.8
8,862.3
8.04878048780488,873
8.25,917.5
8.29268292682927,927
8.5,974.7
8.53658536585366,983.4
8.75,1033.2
8.78048780487805,1040.8
9,1094
9.02439024390244,1099.7
9.25,1155.5
9.26829268292683,1159.8
9.5,1217.4
9.51219512195122,1221.6
9.75,1285.1
9.75609756097561,1288.6
10,1352.9
10,1352.1
10.2439024390244,1418.9
10.25,1420.5
10.4878048780488,1486.5
10.5,1491.1
10.7317073170732,1557.4
10.75,1563.7
10.9756097560976,1629.5
11,1640
11.219512195122,1703.5
11.25,1713
11.4634146341463,1777.9
11.5,1790
11.7073170731707,1854.9
11.75,1870.3
11.9512195121951,1935.9
12,1951.9
12.1951219512195,2015.2
12.4390243902439,2094.2
12.6829268292683,2177.3
12.9268292682927,2265
13.1707317073171,2349.8
13.4146341463415,2436
