15,13,13,13,13,13,13,13,13,13,13
16,16,16,16,16,16,16,16,16,16,16
17,18,18,18,18,18,18,18,18,18,18
18,21,21,21,21,21,21,21,21,21,21
19,24,24,24,24,24,24,24,24,24,24
20,27,27,27,27,27,27,27,27,27,27
21,30,30,31,31,31,31,30,30,30,30
22,34,34,34,34,34,34,34,34,34,34
23,38,38,38,38,38,38,38,38,38,38
24,42,41,41,41,41,41,42,42,41,41
25,45,45,45,45,45,45,45,45,45,45
26,50,50,50,50,50,50,50,50,50,50
27,54,54,54,54,54,54,54,54,54,54
28,59,59,59,59,59,59,59,59,59,59
29,63,63,63,63,63,63,63,63,63,63
30,69,69,69,69,69,69,69,69,69,69
31,73,73,72,72,73,73,73,73,73,73
32,79,79,79,79,78,79,79,79,79,79
33,84,84,84,84,84,84,84,84,84,84
34,90,89,90,90,90,90,90,90,90,90
35,96,95,96,97,96,96,96,97,96,96
36,101,102,101,102,102,102,102,102,102,102
37,108,108,108,107,108,108,108,108,108,108
38,114,115,114,114,114,115,115,114,114,114
39,121,120,121,121,120,120,120,120,120,120
40,128,128,129,128,127,127,128,129,127,128
41,135,135,135,135,135,134,135,135,136,134
42,142,140,142,143,142,142,142,142,143,142
43,148,149,149,149,148,149,148,148,148,149
44,156,156,156,156,156,156,157,156,156,157
45,163,164,164,163,163,164,164,164,164,165
46,171,171,171,172,172,172,172,170,172,172
47,180,179,179,180,180,180,179,179,180,179
48,187,188,188,188,187,188,187,187,188,188
49,195,196,196,196,197,197,197,195,196,196
50,205,204,205,205,205,205,205,205,205,205
